id,act_id,chapter_name,chapter_number
328,98,PROVISIONS AS TO ACCUSED PERSONS OF UNSOUND MIND,CHAPTER XXV
329,98,PROVISIONS AS TO OFFENCES AFFECTING THE ADMINISTRATION OF JUSTICE,CHAPTER XXVI
330,98,THE JUDGMENT,CHAPTER XXVII
331,98,SUBMISSION OF DEATH SENTENCES FOR CONFIRMATION,CHAPTER XXVIII
332,98,,CHAPTER IV
333,98,APPEALS,CHAPTER XXIX
334,98,REFERENCE AND REVISION,CHAPTER XXX
335,98,TRANSFER OF CRIMINAL CASES,CHAPTER XXXI
336,98,"EXECUTION, SUSPENSION, REMISSION AND COMMUTATION OF SENTENCES",CHAPTER XXXII
337,98,PROVISIONS AS TO BAIL AND BONDS,CHAPTER XXXIII
338,98,DISPOSAL OF PROPERTY,CHAPTER XXXIV
339,98,IRREGULAR PROCEEDINGS,CHAPTER XXXV
340,98,LIMITATION FOR TAKING COGNIZANCE OF CERTAIN OFFENCES,CHAPTER XXXVI
341,98,MISCELLANEOUS,CHAPTER XXXVII
342,98,ARREST OF PERSONS,CHAPTER V
343,98,PROCESSES TO COMPEL APPEARANCE,CHAPTER VI
344,98,PROCESSES TO COMPEL THE PRODUCTION OF THINGS,CHAPTER VII
345,98,RECIPROCAL ARRANGEMENTS FOR ASSISTANCE IN CERTAIN MATTERS AND PROCEDURE FOR ATTACHMENT AND FORFEITURE OF PROPERTY,CHAPTER VIIA
346,98,SECURITY FOR KEEPING THE PEACE AND FOR GOOD BEHAVIOUR,CHAPTER VIII
347,98,"ORDER FOR MAINTENANCE OF WIVES, CHILDREN AND PARENTS",CHAPTER IX
348,99,PRELIMINARY,CHAPTER I
349,99,THE TOBACCO BOARD,CHAPTER II
350,99,REGULATION OF PRODUCTION AND DISPOSAL OF VIRGINIA TOBACCO,CHAPTER III
351,99,"FINANCE, ACCOUNTS AND AUDIT",CHAPTER IV
352,99,CONTROL BY CENTRAL GOVERNMENT,CHAPTER V
353,99,MISCELLANEOUS,CHAPTER VI
354,100,PRELIMINARY,CHAPTER I
355,100,RAMPUR RAZA LIBRARY BOARD,CHAPTER II
356,100,"PROPERTY, LIABILITIES AND FUNCTIONS OF BOARD",CHAPTER III
357,100,"FINANCE, ACCOUNTS, AUDIT AND REPORTS",CHAPTER IV
358,100,MISCELLANEOUS,CHAPTER V
359,101,PRELIMINARY,CHAPTER I
360,101,INCIDENCE AND LEVY OF TAX,CHAPTER II
361,101,SALES TAX AUTHORITIES AND APPELLATE TRIBUNAL,CHAPTER III
362,101,"REGISTRATION, AMENDMENT AND CANCELLATION",CHAPTER IV
363,101,"RETURNS, ASSESSMENT, RECOVERY AND REFUND OF TAX",CHAPTER V
364,101,LIABILITY IN SPECIAL CASES,CHAPTER VI
365,101,LIABILITY TO PRODUCE ACCOUNTS AND SUPPLY OF INFORMATION,CHAPTER VII
366,101,"APPEALS, REFERENCE AND REVISION",CHAPTER VIII
367,101,OFFENCES AND PENALTIES,CHAPTER IX
368,101,MISCELLANEOUS,CHAPTER X
369,103,PRELIMINARY,CHAPTER I
370,103,TAKING OVER OF MANAGEMENT OF THE UNDERTAKING OF THE METAL CORPORATION,CHAPTER II
